Municipality,District
Alsip,Southwest
Arlington Heights,North
Barrington,North
Barrington Hills (pt.),North
Bartlett (pt.),North
Bedford Park,Southwest
Bellwood,West
Berkeley,West
Berwyn,West
Blue Island,Southwest
Bridgeview,Southwest
Broadview,West
Brookfield,West
Buffalo Grove (pt.),North
Burbank,Southwest
Burnham,South
Burr Ridge (pt.),West
Calumet City,South
Calumet Park,Southwest
Chicago Heights,South
Chicago Ridge,Southwest
Cicero,West
Country Club Hills,South
Countryside,West
Crestwood,Southwest
Des Plaines,North
Dixmoor,South
Dolton,South
East Hazel Crest,South
Elgin (pt.),North
Elk Grove Village,North
Elmwood Park,West
Evanston,North
Evergreen Park,Southwest
Flossmoor,South
Ford Heights,South
Forest Park,West
Forest View,West
Franklin Park,West
Glencoe,North
Glenview,North
Glenwood,South
Golf,North
Hanover Park (pt.),North
Harvey,South
Harwood Heights,West
Hazel Crest,South
Hickory Hills,Southwest
Hillside,West
Hinsdale (pt.),West
Hodgkins (pt.),West
Hoffman Estates,North
Hometown,Southwest
Homewood,South
Indian Head Park,West
Inverness,North
Justice,Southwest
Kenilworth,North
La Grange,West
La Grange Park,West
Lansing,South
Lemont (pt.),Southwest
Lincolnwood,North
Lynwood,South
Lyons,West
Markham,South
Matteson,South
Maywood,West
Mccook,West
Melrose Park,West
Merrionette Park,Southwest
Midlothian,South
Morton Grove,North
Mount Prospect,North
Niles,North
Norridge,West
North Riverside,West
Northbrook,North
Northfield,North
Northlake,West
Oak Forest,South
Oak Lawn,Southwest
Oak Park,West
Olympia Fields,South
Orland Hills,Southwest
Orland Park (pt.),Southwest
Palatine,North
Palos Heights,Southwest
Palos Hills,Southwest
Palos Park,Southwest
Park Forest (pt.),South
Park Ridge,North
Phoenix,South
Posen,South
Prospect Heights,North
Richton Park,South
River Forest,West
River Grove,West
Riverdale,South
Riverside,West
Robbins,South
Rolling Meadows,North
Roselle (pt.),North
Rosemont,West
Sauk Village ,South
Schaumburg,North
Schiller Park,West
Skokie,North
South Barrington,North
South Chicago Heights,South
South Holland,South
Steger (pt.),South
Stickney,West
Stone Park,West
Streamwood,North
Summit,Southwest
Thornton,South
Tinley Park (pt.),South
Westchester,West
Western Springs,West
Wheeling,North
Willow Springs,Southwest
Wilmette,North
Winnetka,North
Worth,Southwest
